shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco
AFG,0,0.3666667,0,NA,NA,4.540098,1,NA,NA
AGO,1,0.1366667,0,5.363636,7.770645,5.634789,0,-3.411248,1
ARE,0,0.2666667,0,7.181818,9.804219,NA,1,NA,NA
ARG,0,0.3777778,0,6.386364,9.133459,4.232656,0,-0.8722738,1
ARM,0,0.4444444,0,NA,7.682482,NA,1,NA,NA
AUS,0,0.3,1,9.318182,9.897972,2.145931,0,-0.1707883,1
AUT,0,0.5244445,0,9.727273,9.974877,NA,0,-0.3438998,NA
AZE,0,0.4477778,0,NA,7.306531,NA,1,NA,NA
BDI,1,0.0366667,0,NA,6.565265,5.634789,0,-3.506558,NA
BEL,0,0.5611111,0,9.681818,9.992871,NA,0,-0.1791266,NA
BEN,1,0.1033333,0,NA,7.090077,5.585449,0,-2.830218,NA
BFA,1,0.1444445,0,4.454545,6.84588,5.634789,0,-3.540459,1
BGD,0,0.2666667,0,5.136364,6.877296,4.268438,1,-2.063568,1
BGR,0,0.4777778,0,8.909091,8.457443,NA,0,NA,NA
BHR,0,0.2888889,0,8,9.685953,NA,1,NA,NA
BHS,0,0.2683333,0,7.5,9.285448,4.442651,0,NA,1
BIH,0,0.4888889,0,NA,NA,NA,0,NA,NA
BLR,0,0.5888889,0,NA,8.340456,NA,0,NA,NA
BLZ,0,0.1905556,0,NA,8.377932,5.095589,0,NA,NA
BOL,0,0.1888889,0,5.636364,7.926602,4.26268,0,-1.966113,1
BRA,0,0.1111111,0,7.909091,8.727454,4.26268,0,-1.142564,1
BRB,0,0.1455556,0,NA,9.266721,4.442651,0,-0.9063404,NA
BTN,0,0.3033333,0,NA,NA,NA,0,NA,NA
BWA,1,0.2444444,0,7.727273,8.855093,NA,0,-2.36446,NA
CAF,1,0.0777778,0,NA,7.192934,5.634789,0,-3.411248,NA
CAN,0,0.6666667,1,9.727273,9.986449,2.778819,0,-0.0608122,1
CHE,0,0.5222222,0,10,10.12021,NA,0,-0.1346749,NA
CHL,0,0.3333333,0,7.818182,9.336092,4.232656,0,-1.335601,1
CHN,0,0.3888889,0,7.772727,7.886081,4.770685,1,-2.813411,NA
CIV,1,0.0888889,0,7,7.444249,6.504288,0,-2.333044,1
CMR,1,0.0666667,0,6.454545,7.501082,5.634789,0,-2.577022,1
COG,1,0.0111111,0,4.681818,7.420579,5.480639,0,-2.103734,1
COL,0,0.0444444,0,7.318182,8.809863,4.26268,0,-1.331806,1
COM,1,0.1344444,0,NA,7.383989,NA,0,-3.352407,NA
CPV,1,0.1777778,0,NA,7.979339,NA,0,-2.577022,NA
CRI,0,0.1111111,0,7.045455,8.794825,4.35799,0,-1.358679,1
CZE,0,0.5494444,0,8.863636,9.204322,NA,0,-1.555897,NA
DEU,0,0.5666667,0,NA,9.935471,NA,0,-0.2008929,NA
DJI,1,0.1255556,0,NA,NA,3.258096,0,NA,NA
DNK,0,0.6222222,0,9.727273,10.00559,NA,0,-0.3710637,NA
DOM,0,0.2111111,0,6.181818,8.364042,4.867535,0,-1.579879,1
DZA,1,0.3111111,0,6.5,8.389359,4.35927,0,-1.114742,1
ECU,0,0.0222222,0,6.545455,8.470101,4.26268,0,-1.439695,1
EGY,1,0.3,0,6.772727,7.95156,4.216562,0,-1.676647,1
ERI,1,0.1666667,0,NA,6.620073,NA,0,NA,NA
ESP,0,0.4444444,0,9.681818,9.618468,NA,0,-0.3827257,NA
EST,0,0.6555555,0,NA,8.393895,NA,0,NA,NA
ETH,1,0.0888889,0,5.727273,6.109248,3.258096,0,NA,1
FIN,0,0.7111111,0,9.727273,9.826066,NA,0,-0.3092462,NA
FJI,0,0.2,0,NA,8.301521,2.433613,0,-1.298283,NA
FRA,0,0.5111111,0,9.727273,9.963641,1.05779,0,-0.2008929,NA
GAB,1,0.0111111,0,7.818182,8.907883,5.634789,0,-1.851509,1
GBR,0,0.6,0,9.772727,9.87817,0.9360933,0,-0.3188288,NA
GEO,0,0.4666667,0,NA,7.37149,NA,1,NA,NA
GHA,1,0.0888889,0,6.272727,7.36518,6.504288,0,-2.956511,1
GIN,1,0.1222222,0,6.545455,7.489971,6.180017,0,-3.146555,1
GMB,1,0.1475556,0,8.272727,7.272398,7.293018,0,-3.036554,1
